timestamp,service,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-08-19T02:38:12.6391551+00:00,cortex-db-1,77.53%,706.1MiB / 7.605GiB,9.07%,11.6MB / 9.37MB,690MB / 1.8GB,31
2026-08-19T02:38:17.3570819+00:00,cortex-backend-1,62.98%,141MiB / 2GiB,6.89%,20.9MB / 55.3MB,1.8MB / 0B,10
2026-08-19T02:38:17.3570819+00:00,cortex-embedding-service-1,0.22%,585.7MiB / 3GiB,19.06%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:17.3570819+00:00,cortex-reranker-service-1,0.34%,1.226GiB / 7.605GiB,16.12%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:17.3570819+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:17.3570819+00:00,cortex-llm-gateway-1,0.24%,465.4MiB / 7.605GiB,5.98%,126kB / 15.7kB,269MB / 49.2kB,28
2026-08-19T02:38:17.3570819+00:00,cortex-redis-1,11.46%,31.05MiB / 7.605GiB,0.40%,40MB / 7.9MB,493MB / 46.3MB,8
2026-08-19T02:38:17.3570819+00:00,cortex-db-1,74.52%,703.7MiB / 7.605GiB,9.04%,13.5MB / 10.6MB,690MB / 1.82GB,31
2026-08-19T02:38:22.0702621+00:00,cortex-backend-1,65.05%,152.8MiB / 2GiB,7.46%,24.6MB / 64.8MB,1.8MB / 0B,10
2026-08-19T02:38:22.0702621+00:00,cortex-embedding-service-1,0.21%,585MiB / 3GiB,19.04%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:22.0702621+00:00,cortex-reranker-service-1,30.33%,1.225GiB / 7.605GiB,16.11%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:22.0702621+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:22.0702621+00:00,cortex-llm-gateway-1,0.20%,464.9MiB / 7.605GiB,5.97%,126kB / 15.7kB,269MB / 53.2kB,28
2026-08-19T02:38:22.0702621+00:00,cortex-redis-1,11.53%,33.03MiB / 7.605GiB,0.42%,46.4MB / 9.42MB,493MB / 48.7MB,8
2026-08-19T02:38:22.0702621+00:00,cortex-db-1,93.73%,707.7MiB / 7.605GiB,9.09%,15.4MB / 11.8MB,694MB / 1.83GB,31
2026-08-19T02:38:26.8784147+00:00,cortex-backend-1,68.72%,140.1MiB / 2GiB,6.84%,26.3MB / 67.8MB,1.8MB / 0B,10
2026-08-19T02:38:26.8784147+00:00,cortex-embedding-service-1,0.23%,585MiB / 3GiB,19.04%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:26.8784147+00:00,cortex-reranker-service-1,0.32%,1.225GiB / 7.605GiB,16.11%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:26.8784147+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:26.8784147+00:00,cortex-llm-gateway-1,0.18%,464.9MiB / 7.605GiB,5.97%,126kB / 15.7kB,269MB / 53.2kB,28
2026-08-19T02:38:26.8784147+00:00,cortex-redis-1,10.61%,32.8MiB / 7.605GiB,0.42%,47MB / 9.65MB,493MB / 48.9MB,8
2026-08-19T02:38:26.8784147+00:00,cortex-db-1,75.85%,705.3MiB / 7.605GiB,9.06%,17.7MB / 13.3MB,695MB / 1.84GB,31
2026-08-19T02:38:31.6286692+00:00,cortex-backend-1,65.17%,140MiB / 2GiB,6.84%,28.1MB / 70.9MB,1.8MB / 0B,10
2026-08-19T02:38:31.6286692+00:00,cortex-embedding-service-1,0.18%,585MiB / 3GiB,19.04%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:31.6286692+00:00,cortex-reranker-service-1,0.32%,1.225GiB / 7.605GiB,16.11%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:31.6286692+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:31.6286692+00:00,cortex-llm-gateway-1,0.30%,464.9MiB / 7.605GiB,5.97%,126kB / 15.7kB,269MB / 53.2kB,28
2026-08-19T02:38:31.6286692+00:00,cortex-redis-1,11.20%,32.81MiB / 7.605GiB,0.42%,48MB / 10MB,493MB / 49.1MB,8
2026-08-19T02:38:31.6286692+00:00,cortex-db-1,74.79%,705.1MiB / 7.605GiB,9.05%,19.5MB / 14.4MB,695MB / 1.85GB,31
2026-08-19T02:38:36.3480600+00:00,cortex-backend-1,57.43%,138MiB / 2GiB,6.74%,29.6MB / 73.5MB,1.8MB / 0B,10
2026-08-19T02:38:36.3480600+00:00,cortex-embedding-service-1,0.19%,585MiB / 3GiB,19.04%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:36.3480600+00:00,cortex-reranker-service-1,0.20%,1.225GiB / 7.605GiB,16.11%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:36.3480600+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:36.3480600+00:00,cortex-llm-gateway-1,0.16%,464.9MiB / 7.605GiB,5.97%,126kB / 15.7kB,269MB / 53.2kB,28
2026-08-19T02:38:36.3480600+00:00,cortex-redis-1,19.76%,33.7MiB / 7.605GiB,0.43%,50.3MB / 10.6MB,493MB / 49.3MB,8
2026-08-19T02:38:36.3480600+00:00,cortex-db-1,51.37%,705.9MiB / 7.605GiB,9.06%,21.6MB / 15.7MB,696MB / 1.86GB,31
2026-08-19T02:38:41.0321558+00:00,cortex-backend-1,94.32%,148.3MiB / 2GiB,7.24%,33MB / 82.7MB,1.93MB / 4.1kB,19
2026-08-19T02:38:41.0321558+00:00,cortex-embedding-service-1,0.19%,583.6MiB / 3GiB,19.00%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:41.0321558+00:00,cortex-reranker-service-1,0.25%,1.224GiB / 7.605GiB,16.09%,2.63kB / 126B,2.88GB / 4.1kB,48
2026-08-19T02:38:41.0321558+00:00,cortex-frontend-1,0.00%,16.26MiB / 7.605GiB,0.21%,1.29kB / 126B,3.22MB / 4.1kB,21
2026-08-19T02:38:41.0321558+00:00,cortex-llm-gateway-1,0.15%,464.1MiB / 7.605GiB,5.96%,126kB / 15.7kB,269MB / 77.8kB,28
2026-08-19T02:38:41.0321558+00:00,cortex-redis-1,9.45%,34.11MiB / 7.605GiB,0.44%,55.3MB / 11.8MB,493MB / 51.6MB,8
2026-08-19T02:38:41.0321558+00:00,cortex-db-1,67.30%,703MiB / 7.605GiB,9.03%,23.4MB / 16.9MB,696MB / 1.87GB,31
2026-08-19T02:38:45.7073503+00:00,cortex-backend-1,95.94%,141.8MiB / 2GiB,6.92%,34.9MB / 86.1MB,1.93MB / 4.1kB,19
2026-08-19T02:38:45.7073503+00:00,cortex-embedding-service-1,0.17%,582.9MiB / 3GiB,18.97%,2.84kB / 126B,389MB / 4.1kB,52
2026-08-19T02:38:45.7073503+00:00,cortex-reranker-service-1,0.31%,1.223GiB / 7.605GiB,16.08%,2.63kB / 126B,2.88GB / 4.1kB,48
